"feel_biden","feel_trump","feel_fauci","feel_feminists","feel_unions","feel_bigbusiness","feel_gay","feel_muslim","feel_christian","feel_jewish","feel_police","feel_scientists","feel_nra","feel_fbi","feel_rural","feel_cdc"
35,95,50,15,15,50,30,50,95,50,90,50,50,50,50,50
85,0,85,50,15,40,50,50,40,50,85,100,40,70,50,100
85,0,100,100,50,50,100,100,100,100,100,100,25,100,100,100
70,0,30,50,40,50,60,50,70,50,0,30,50,50,50,50
50,50,50,50,50,60,70,50,70,70,40,70,60,60,50,60
70,60,85,70,40,60,85,50,70,85,40,85,60,15,70,70
100,0,100,85,85,70,60,85,100,100,60,100,100,100,100,100
60,15,70,100,100,40,100,90,60,100,60,100,60,85,85,100
80,10,85,60,40,25,70,60,70,80,40,80,10,60,70,80
70,50,85,50,50,50,50,50,50,50,50,80,50,50,50,60
25,30,30,60,80,20,50,85,85,85,95,85,85,75,95,60
100,0,100,60,70,40,50,60,60,60,60,100,40,85,50,100
100,0,100,50,70,70,100,100,100,100,60,100,40,70,85,100
0,85,0,50,0,100,85,85,85,85,85,85,70,30,85,0
40,80,20,80,60,70,70,60,80,70,80,80,60,70,80,70
40,15,50,70,60,40,50,50,60,50,40,60,40,50,50,60
100,0,85,70,85,0,100,100,30,100,60,85,0,50,60,85
0,100,30,50,100,60,50,50,100,85,85,70,100,70,60,70
100,0,100,85,60,70,70,70,100,85,85,85,85,100,85,100
85,15,100,50,70,50,50,50,50,50,50,85,50,50,85,40
100,0,85,85,70,50,85,85,100,85,70,70,40,50,50,85
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
60,45,90,50,50,55,75,60,90,80,75,90,70,80,80,90
60,30,85,40,40,50,70,50,60,70,60,70,30,50,60,40
60,0,70,50,70,30,60,0,70,70,85,85,100,70,60,70
50,70,30,40,70,30,15,40,100,85,70,70,50,85,70,50
0,100,50,0,50,50,0,0,100,85,85,50,100,0,100,50
100,0,85,0,100,100,0,0,100,60,85,60,100,100,100,100
5,5,20,30,20,80,100,90,90,90,10,70,15,15,100,20
0,100,50,50,50,40,100,50,100,50,100,85,100,50,100,50
0,100,0,4,4,2,50,0,85,50,50,100,100,50,50,50
85,0,100,60,60,60,85,70,50,70,50,100,0,50,60,100
70,15,85,70,60,60,85,70,70,70,60,70,40,50,40,40
70,0,100,85,100,0,100,100,100,100,60,100,0,70,100,100
60,30,50,50,40,60,50,60,50,60,50,60,50,50,60,60
100,0,100,50,40,50,70,50,15,50,85,100,30,60,50,85
0,15,0,0,0,15,0,0,0,0,0,0,0,15,0,0
30,50,0,0,60,0,0,50,60,0,0,15,50,50,60,15
70,0,100,85,85,40,100,50,30,85,40,85,30,50,30,70
30,70,70,30,50,30,50,15,30,60,60,60,60,50,50,60
100,15,100,0,50,50,100,100,85,100,100,100,40,50,40,100
15,55,50,50,50,50,50,50,50,50,90,50,50,55,50,55
30,70,60,70,40,60,70,50,50,30,80,70,70,70,60,60
60,0,70,85,85,30,85,85,70,85,85,100,15,70,60,70
85,15,85,85,60,15,85,85,85,50,60,70,40,50,15,85
0,85,15,40,30,40,0,0,100,100,100,60,100,50,100,60
70,85,85,60,60,60,50,70,100,100,100,85,70,85,85,100
0,100,0,0,15,15,50,100,100,100,100,50,70,15,50,15
50,50,50,100,100,60,100,100,50,100,30,100,60,30,70,70
85,0,70,85,50,50,85,85,60,85,40,85,40,75,60,60
100,0,100,100,85,85,100,85,85,100,100,100,60,100,100,100
50,85,50,100,75,85,100,85,100,100,85,100,85,85,85,85
15,60,50,30,0,40,50,50,40,50,85,50,70,70,85,40
60,35,85,50,45,30,50,50,50,90,60,75,45,50,50,55
100,0,100,70,70,40,50,100,50,50,70,100,50,100,50,100
40,70,85,50,50,60,60,0,70,40,60,60,50,50,60,60
70,0,100,70,50,50,50,50,100,50,100,100,60,100,100,100
0,85,40,15,15,75,30,60,70,50,95,85,85,85,85,40
40,0,60,70,40,30,85,50,50,60,30,70,15,30,40,60
30,75,95,70,70,60,70,70,70,70,70,90,90,70,70,90
60,10,85,50,50,40,50,50,50,50,60,100,40,70,50,85
100,0,100,70,70,70,15,70,100,70,100,100,100,100,85,100
70,30,70,60,60,30,60,50,60,50,50,50,50,50,50,70
40,40,40,100,40,40,100,100,100,100,100,100,40,100,40,100
40,60,85,60,60,40,85,60,85,70,100,100,100,70,100,100
55,45,60,65,65,50,55,50,50,50,55,68,65,59,79,50
100,0,100,95,50,60,100,100,40,100,50,100,0,70,85,50
85,15,30,50,50,70,50,40,60,85,40,60,60,60,60,50
85,0,70,60,50,30,100,85,70,85,40,85,15,60,40,85
15,79,85,79,65,77,70,70,72,88,79,80,100,77,90,79
100,0,100,100,60,60,90,80,70,90,70,90,20,95,50,90
85,0,100,100,70,70,100,85,70,100,85,100,40,100,70,100
